artist,album_name,album_year,album_category,song_name,song_genre,song_lyrics
Metallica,Master Of Puppets,1986,album,The Thing That Should Not Be,rock,Messenger of fear in sight Dark deception kills the light  Hybrid children watch the sea Pray for father roaming free  Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising Immortal In madness you dwell  Crawling chaos underground Cult has summoned twisted sound  Out from ruins once possessed Fallen city living death  Fearless wretch Insanity He watches Lurking beneath the sea Timeless sleep Has been upset He awakens Hunter of the shadows is rising Immortal In madness you dwell  Not dead which eternal lie Stranger eons death may die  Drain you of your sanity Face the thing that should not be  Fearless wretch Insanity He watches Lurking beneath the sea Great old one Forbidden site He searches Hunter of the shadows is rising Immortal In madness you dwell
Metallica,Master Of Puppets,1986,album,Welcome Home (Sanitarium),rock,Welcome to where time stands still No one leaves and no one will Moon is full never seems to change Just labeled mentally deranged Dream the same thing every night see our freedom in my sight No locked doors No windows barred No things to make my brain seem scarred  Sleep my friend and you will see That dream is my reality They keep me locked up in this cage Can't they see it's why my brain says Rage  Sanitarium leave me be Sanitarium just leave me alone  Build my fear of what's out there Cannot breathe the open air Whisper things into my brain Assuring me that I'm insane They think our heads are in their hands But violent use brings violent plans Keep him tied it makes him well He's getting better can't you tell  No more can they keep us in Listen damn it we will win They see it right they see it well But they think this saves us from our hell  Sanitarium leave me be Sanitarium just leave me alone Sanitarium just leave me alone  Fear of living on Natives getting restless now Mutiny in the air Got some death to do Mirror stares back hard Kill it's such friendly word Seems the only way For reaching out again
Metallica,Master Of Puppets,1986,album,Disposable Heroes,rock,Bodies fill the fields see hungry heroes end No one to play soldier now no one to pretend Running blind through killing fields bred to kill them all Victim of what said should be servant 'til fall  Soldier boy made of clay Now an empty shell Twentyone only son But he served us well Bred to kill not to care Do just as we say Finished here Greetings Death He's yours to take away  Back to the front You will do what say when say Back to the front You will die when say you must die Back to the front You coward You servant You blind man  Barking of machinegun fire does nothing to me now Sounding of the clock that ticks get used to it somehow More man more stripes you bare gloryseeker trends Bodies fill the fields see The slaughter never ends  Soldier boy made of clay Now an empty shell Twentyone only son But he served us well Bred to kill not to care Do just as we say Finished here Greetings Death He's yours to take away  Back to the front You will do what say when say Back to the front You will die when say you must die Back to the front You coward You servant You blind man  Why am dying Kill have no fear Lie live off lying Hell hell is here was born for dying  Life planned out before my birth nothing could say Had no chance to see myself molded day by day Looking back realize nothing have done Left to die with only friend Alone clench my gun  Soldier boy made of clay Now an empty shell Twentyone only son But he served us well Bred to kill not to care Do just as we say Finished here Greetings Death He's yours to take away  Back to the front You will do what say when say Back to the front You will die when say you must die Back to the front You coward You servant You blind man  Back to the front
Metallica,Master Of Puppets,1986,album,Leper Messiah,rock,Spineless from the start sucked into the part Circus comes to town you play the lead clown Please please Spreading his disease living by his story Knees knees Falling to your knees suffer for his glory You will  Time for lust time for lie Time to kiss your life goodbye Send me money send me green Heaven you will meet Make contribution And you'll get the better seat Bow to Leper Messiah  Marvel at his tricks need your Sunday fix Blind devotion came rotting your brain Chain chain Join the endless chain Taken by his glamour Fame Fame Infection is the game stinking drunk with power We see  Time for lust time for lie Time to kiss your life goodbye Send me money send me green Heaven you will meet Make contribution And you'll get the better seat Bow to Leper Messiah  Witchery weakening Sees the sheep are gathering Set the trap hypnotize Now you follow  Time for lust time for lie Time to kiss your life goodbye Send me money send me green Heaven you will meet Make contribution And you'll get the better seat  Lie Lie Lie Lie Lie Lie Lie Lie
Metallica,Master Of Puppets,1986,album,"Damage, Inc.",rock,Dealing out the agony within Charging hard and no one's gonna give in Living on your knees conformity Or dying on your feet for honesty Inbred our bodies work as one Bloody but never cry submission Following our instinct not trend Go against the grain until the end  Blood will follow blood Dying time is here Damage Incorporated  Slamming through don't fuck with razorback Stepping out You'll feel our hell on your back Blood follows blood and we make sure Life ain't for you and we're the cure Honesty is my only excuse Try to rob us of it but it's no use Steamroller action crushing all Victim is your name and you shall fall  Blood will follow blood Dying time is here Damage Incorporated  We chew and spit you out We laugh you scream and shout All flee with fear you run You'll know just where we come from  Damage Incorporated  Damage jackals ripping right through you Sight and smell of this it gets me goin' Know just how to get just what we want Tear it from your soul in nightly hunt Fuck it all and fucking no regrets Never happy ending on these dark sets All's fair for Damage Inc you see Step little closer if you please  Blood will follow blood Dying time is here Damage Incorporated
Metallica,The $5.98 E.P.: Garage Days Re-Revisited,1987,EP,Helpless,rock,I've gotta see you moving fast see you come my way See the dreams hope they last never fade away Gotta see the lights above make it loud tonight Gotta set it all afire set it all alight  See the flashing lights hear the thunder roar am gonna set you all alight Gotta make it man ain't got choice Gotta fill this hall tonight  Helpless helpless helpless helpless don't know what I'm gonna do maybe not tonight Gotta set you all afire gotta treat you right can see the flashing lights lit before your love Gotta hear the thunder roar coming from above  See the flashing lights hear the thunder roar am gonna set you all alight Gotta make it man ain't got choice Gotta fill this hall tonight  Helpless helpless helpless helpless can see the stars can see what's going on Every night alone sing my song just for fun Only time will tell if I'll make it myself someday This stage is mine music is my destiny  Cannot squeeze the life from me can see the stars can see what's going on Every night alone sing my song just for fun Only time will tell if I'll make it myself someday This stage is mine music is my destiny  Cannot squeeze the life from me
Metallica,The $5.98 E.P.: Garage Days Re-Revisited,1987,EP,The Small Hours,rock,Look out at the darkness and you will see Just call my name and I'll be there You cannot touch me you would not dare am the chill that's in the air  And try to get through to you in my own special way As the barriers crumble at the end of the day  Dark rivers are flowing back into the past You are the fish for which cast And what of the future what is to be As the rivers flow into the sea  And try to get through to you in my own special way As the barriers crumble at the end of the day  Do not take for granted powers out there Don't step into the demon's lair Time is an illusion rising from time Steep is the mountain which we climb  And try to get through to you in my own special way As the barriers crumble at the end of the day
Metallica,The $5.98 E.P.: Garage Days Re-Revisited,1987,EP,The Wait,rock,Motives changing day to day The fire increases masks decay look at the river white foam floats down The body's poisoned gotta sit tight  The wait the wait the wait the wait  After wakening silence grows The screams subside distortion shows Mutant thoughts of bad mouthed news Is just another birth of distorted views  The wait the wait the wait the wait  The wait the wait the wait the wait
Metallica,The $5.98 E.P.: Garage Days Re-Revisited,1987,EP,Crash Course In Brain Surgery,rock,Look inside and you will see The words are cutting deep inside my brain Thunder burning quickly burning Knife of words is driving me insane insane yeah  Raven black is on my track He shows me how to neutralize the knife Show to me in surgery The art of fighting words to conquer life conquer life yeah  Now the wicked lance of fear Is driving from my heady mountain brain Crash course in brain surgery Has stopped the bloody knife of words again yeah yeah yeah
Metallica,The $5.98 E.P.: Garage Days Re-Revisited,1987,EP,Last Caress / Green Hell,rock,I've got something to say killed your baby today and it Doesn't matter much to me as long as it's dead I've got something to say raped your mother today and it Doesn't matter much to me as long as she's spread  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress  I've got something to say killed your baby today and it Doesn't matter much to me as long as it's dead I've got something to say raped your mother today and it Doesn't matter much to me as long as she's spread  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress  Sweet Lovely Death Just waiting for your breath Come sweet Death One Last Caress  One Last Caress today Ohhh Ohhh Ohhh repeat  Here in this place lies the key to your death Touch it see it Here in this place is the means to your end Touch it feel it green hell  You did your best as someone could bet you never knew you would And did you run away from me bet you thought you really could  We're gonna burn in hell  Green hell Like every hell but kind of green  Green hell green hell Try let me get back up there  Green hell green hell Feel it burning in your cereal  Green hell green hell Throw your fuckin' friends inside  Green hell green hell Gotta fuckin' pay and you must stay  Green hell Cannot refill the torch of death  Green hell green hell Hell is reigning in your blood  Green hell green hell Gotta burn it all green hell  You did your best as someone could bet you never knew you would And did you run away from me bet you thought you really could  Here in this place lies the key to your death Touch it see it Here in this place is your world that ended Touch it feel it green hell  You did your best as someone could bet you never knew you would And did you run away from me bet you thought you really could You've come to this as someone told bet you never knew you would Gonna bring green hell green hell
